custom_edit_url	sidebar_label	learn_status	learn_rel_path	description
https://github.com/netdata/netdata/edit/master/docs/deployment-guides/README.md	Deployment Guides	Published	Deployment Guides	
https://github.com/netdata/netdata/edit/master/docs/deployment-guides/standalone-deployment.md	Standalone Deployment	Published	Deployment Guides	
https://github.com/netdata/netdata/edit/master/docs/deployment-guides/deployment-with-centralization-points.md	Deployment with Centralization Points	Published	Deployment Guides	
https://github.com/netdata/netdata/edit/master/docs/deployment-guides/deployment-strategies.md	Deployment Strategies	Published	Deployment Guides	
https://github.com/netdata/netdata/edit/master/docs/Demo-Sites.md	Live Demo	Published	root	
				
https://github.com/netdata/netdata/edit/master/docs/netdata-agent/README.md	Netdata Agent	Published	Netdata Agent	
https://github.com/netdata/netdata/edit/master/docs/netdata-agent/versions-and-platforms.md	Versions & Platforms	Published	Netdata Agent	Present all the supported platform in the Netdata solution
https://github.com/netdata/netdata/edit/master/packaging/installer/README.md	Installation	Published	Netdata Agent/Installation	
https://github.com/netdata/netdata/edit/master/packaging/installer/methods/kickstart.md	Linux	Published	Netdata Agent/Installation/Linux	The kickstart.sh script installs Netdata from source, including all dependencies required to connect to Netdata Cloud, with a single command.
https://github.com/netdata/netdata/edit/master/packaging/installer/methods/packages.md	Native Linux Distribution packages	Published	Netdata Agent/Installation/Linux	Instructions for how to install Netdata using native DEB or RPM packages.
https://github.com/netdata/netdata/edit/master/packaging/makeself/README.md	Static binary Linux Packages	Published	Netdata Agent/Installation/Linux	Users can build the static 64-bit binary package that we ship with every release of the open-source Netdata Agent for debugging or specialize purposes.
https://github.com/netdata/netdata/edit/master/packaging/installer/methods/offline.md	Offline systems	Published	Netdata Agent/Installation/Linux	Install the Netdata Agent on offline/air gapped systems to benefit from real-time, per-second monitoring without connecting to the internet.
https://github.com/netdata/netdata/edit/master/packaging/docker/README.md	Docker	Published	Netdata Agent/Installation	
https://github.com/netdata/netdata/edit/master/packaging/installer/methods/kubernetes.md	Kubernetes	Published	Netdata Agent/Installation	Deploy Netdata to monitor a Kubernetes cluster to monitor the health, performance, resource utilization, and application metrics of a Kubernetes cluster in real time.
https://github.com/netdata/helmchart/edit/master/charts/netdata/README.md	Kubernetes Helm chart reference	Published	Netdata Agent/Installation	
https://github.com/netdata/netdata/edit/master/docs/category-overview-pages/install-with-a-cicd-provisioning-system.md	Install with a CICD Provisioning System	Unpublished	Netdata Agent/Installation	
https://github.com/netdata/netdata/edit/master/packaging/installer/methods/macos.md	macOS	Published	Netdata Agent/Installation	
https://github.com/netdata/netdata/edit/master/packaging/installer/methods/freebsd.md	FreeBSD	Published	Netdata Agent/Installation	Install Netdata on FreeBSD to monitor the health and performance of bare metal or VMs with thousands of real-time, per-second metrics.
https://github.com/netdata/netdata/edit/master/packaging/installer/methods/pfsense.md	pfSense	Published	Netdata Agent/Installation	Install Netdata on pfSense to monitor the health and performance of firewalls with thousands of real-time, per-second metrics.
https://github.com/netdata/netdata/edit/master/packaging/installer/methods/synology.md	Synology	Published	Netdata Agent/Installation	The Netdata Agent can be installed on AMD64-compatible NAS systems using the 64-bit pre-compiled static binary.
https://github.com/netdata/netdata/edit/master/packaging/installer/methods/ansible.md	Ansible	Published	Netdata Agent/Installation	Deploy an infrastructure monitoring solution in minutes with the Netdata Agent and Ansible. Use and customize a simple playbook for monitoring as code.
https://github.com/netdata/netdata/edit/master/packaging/installer/methods/aws.md	AWS	Published	Netdata Agent/Installation	The Netdata Agent runs on all popular cloud providers, but often requires additional steps and configuration for full functionality.
https://github.com/netdata/netdata/edit/master/packaging/installer/methods/azure.md	Azure	Published	Netdata Agent/Installation	The Netdata Agent runs on all popular cloud providers, but often requires additional steps and configuration for full functionality.
https://github.com/netdata/netdata/edit/master/packaging/installer/methods/gcp.md	GCP	Published	Netdata Agent/Installation	The Netdata Agent runs on all popular cloud providers, but often requires additional steps and configuration for full functionality.
https://github.com/netdata/netdata/edit/master/docs/category-overview-pages/install-netdata-on-embedded-systems.md	Install Netdata on Embedded Systems	Unpublished	Netdata Agent/Installation	
				
https://github.com/netdata/netdata/edit/master/docs/category-overview-pages/maintenance-operations-on-netdata-agents.md	Maintenance	Published	Netdata Agent/Maintenance	
https://github.com/netdata/netdata/edit/master/docs/maintenance/start-stop-restart.md	Starting and Stopping Netdata Agents 	Published	Netdata Agent/Maintenance	Manage the Netdata Agent daemon, load configuration changes, and troubleshoot stuck processes on systemd and non-systemd nodes.
https://github.com/netdata/netdata/edit/master/packaging/installer/UPDATE.md	Update Netdata Agents	Published	Netdata Agent/Maintenance	If you opted out of automatic updates, you need to update your Netdata Agent to the latest nightly or stable version.
https://github.com/netdata/netdata/edit/master/packaging/installer/REINSTALL.md	Reinstall Netdata Agents	Published	Netdata Agent/Maintenance	Troubleshooting installation issues or force an update of the Netdata Agent by reinstalling it using the same method you used during installation.
https://github.com/netdata/netdata/edit/master/packaging/installer/UNINSTALL.md	Uninstall Netdata Agents	Published	Netdata Agent/Maintenance	If you are no longer interested in using the Netdata Agent, use the self-contained uninstaller to remove all traces of binaries and configuration files.
				
https://github.com/netdata/netdata/edit/master/docs/netdata-agent/sizing-netdata-agents/README.md	Sizing Netdata Agents	Published	Netdata Agent/Sizing Netdata Agents	
https://github.com/netdata/netdata/edit/master/docs/netdata-agent/sizing-netdata-agents/cpu-requirements.md	CPU Requirements	Published	Netdata Agent/Sizing Netdata Agents	
https://github.com/netdata/netdata/edit/master/docs/netdata-agent/sizing-netdata-agents/ram-requirements.md	RAM Requirements	Published	Netdata Agent/Sizing Netdata Agents	
https://github.com/netdata/netdata/edit/master/docs/netdata-agent/sizing-netdata-agents/bandwidth-requirements.md	Bandwidth Requirements	Published	Netdata Agent/Sizing Netdata Agents	
